# link_lengths=0.2,0.2,0.15,0.15,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
-1.646558473316162452e+00,4.639043173921786334e-01,-2.122680385190367502e-01,-7.977935235727744434e-01,1.816727648957770391e+00,5.641637638153005341e-01,1.906610815203320930e-01,-6.721618608936972272e-01
-7.402343768315362560e-01,-9.269525681311172605e-01,-1.387508015341879064e+00,-1.007528027819077465e+00,-4.196266145095384204e-02,-1.830598262678271970e+00,-7.496540436651136230e-02,-1.113773913901073831e-01
1.638909426895944321e+00,-2.760656742304161249e+00,-2.962160483380180231e+00,2.911871988066568662e+00,-5.529582517719329182e-01,2.457843867181925823e+00,1.022320039559340976e-01,-2.944352029271821158e-02
1.263033760251582649e+00,1.143116236794741170e-01,2.300460867019881839e+00,-1.456115414853077272e+00,1.239389333768194490e+00,-1.337446979163075422e+00,-2.682474013553713399e-01,4.832665190691780577e-01
3.457308940336201175e-01,1.215761166912364466e+00,-7.391272917362532446e-01,1.120790700347784608e+00,-2.153878206679934237e+00,3.014852523064961431e+00,2.409561150144345909e-01,5.295952774916172778e-01
1.079298398795253355e+00,9.345256036778524233e-01,2.189250555115654251e+00,-2.406566317265167676e+00,2.230131628593574611e+00,-2.967706814330944631e+00,-1.123978555605203988e-01,3.820392195878251629e-01
-2.723764901713699338e+00,-1.852131214509560531e+00,-2.553587061790770552e+00,-2.915029041280430278e-01,3.112175571445783717e+00,-2.964611148379715289e+00,-3.207759456206302207e-02,-1.231464782773440403e-01
-5.738004537726713039e-01,-1.707387508735476178e+00,-2.170176215521390617e+00,2.443614979385728248e+00,1.727435446924276974e+00,1.733773237424362179e+00,4.315860647369857556e-02,-1.795280821277322469e-01
-1.943310201703246642e+00,-2.275311276753456902e+00,2.744082130655923990e+00,2.071842413404910488e+00,2.678303720362444018e+00,-5.469871224165561152e-01,-2.198329062563151859e-01,-4.834373395924718847e-02
2.948556642453605825e+00,1.379797832708500316e+00,1.063083306867638633e+00,1.302032611873053192e+00,-1.007341334541564493e+00,6.995414608256877997e-01,1.427156630458787379e-01,-2.499496508798156880e-01
-2.834810738698212429e+00,-1.868622093001197415e+00,-1.784054977356577698e+00,1.001502798400571770e+00,-1.820751992599811686e-02,2.045605448484399069e+00,3.537848560132117459e-02,3.178987946511572238e-01
-2.928132850237302076e+00,-1.152494009223665516e+00,-1.747864954471613386e+00,2.736302291753910154e+00,4.582244833169255571e-01,3.103082809295181654e+00,-3.268252082220070021e-01,1.740991390982868925e-01
8.442802189277998082e-02,2.622592059818882326e+00,-2.173981896776576050e+00,-2.125033382295371531e+00,-2.474440645482092194e-01,-2.694446582665785961e-01,6.609627777253454517e-02,-1.549555747459113175e-01
-2.778933484563641088e+00,-2.675919754199467704e+00,1.126170614248474422e+00,2.299391535699533584e+00,2.184881112979100592e+00,6.731965145727856203e-01,-7.944931535633636965e-03,1.702006578041375673e-01
-7.146343586256747038e-01,-1.333224694848578640e+00,1.404758615844635017e+00,3.107603335445946691e+00,2.078398030621183779e+00,1.885834336893301710e+00,1.444332135208745149e-01,-3.887740112607884768e-01
-2.612215015237565829e+00,-1.701701227624324186e+00,2.479357307086904605e+00,-2.644453820616664341e+00,-2.175892849199810630e+00,1.675287036282117725e+00,-2.044468782105703375e-01,1.445817118530378365e-01
-2.926611915748317472e+00,2.092506087065991949e+00,-3.131493950107531621e+00,1.832940124003010318e+00,3.103748699640143549e+00,-5.468217113304789656e-01,-9.526139469529570913e-02,-8.394805629165476291e-02
2.270373986710349179e+00,-1.128432297420714825e+00,4.992038536211249600e-01,2.776690570806062297e+00,-1.617687011884544779e+00,2.174372774355926907e+00,-1.680166257862456825e-01,2.779013546276248858e-01
