# link_lengths=0.5,0.3,0.2
theta_0,theta_1,theta_2,gt_x,gt_y
-1.185104604264989758e+00,-2.148477839727803040e+00,-2.760405444178770651e+00,9.004321525731942555e-02,-3.684113241390981064e-01
2.920466231053747919e+00,-7.128414712256470054e-01,1.753893262660784380e+00,-8.026752225705137134e-01,2.046411258774512854e-01
-1.401003441709169239e+00,2.002382619707037570e+00,2.615729261532269589e+00,1.324259268311119564e-01,-3.381646334071186089e-01
1.053146462994396515e+00,1.800798738744859406e+00,9.644667439763869865e-01,-1.961683025301341199e-01,3.943380721778135811e-01
-1.555327394786728989e+00,-3.001038806782554857e+00,-3.113973384775954756e+00,-2.360686397344095855e-03,-4.002212710069669721e-01
2.473033741918254869e+00,7.264354576719762591e-01,2.561271118361462484e+00,-5.185352156394900103e-01,1.927745293731222831e-01
3.038022573504180812e+00,-8.281847541848286198e-02,-1.143199153687037173e+00,-8.398999566104083936e-01,3.014958686918656761e-01
1.329064486771878606e+00,6.620565919700287516e-01,-1.296439406216127965e+00,1.509266508916397020e-01,8.873775519901817566e-01
-3.069134309311261077e+00,-1.942636823396400647e+00,-2.665046521139088576e+00,-3.749613205048825115e-01,5.358869591531562060e-02
2.532986356050406229e+00,-5.326415035950078369e-01,-9.550008909382952105e-01,-4.348400505628743362e-01,7.316278627173352644e-01
-1.667786969145141240e+00,9.561971339516075474e-01,6.983452243141572424e-01,3.787605183529252351e-01,-6.962104767657464333e-01
-2.032733862248073287e+00,-2.132049395424586713e-01,1.613335351211111934e+00,-2.490460730322694438e-01,-8.000299824993735154e-01
2.601102681309279241e+00,1.795227928202139722e+00,1.081539521354237365e+00,-3.833983084596283009e-01,-1.720721039063496660e-01
1.824132924589737748e+00,2.005978418059426893e+00,-2.986737018665885035e+00,-2.239848742496449718e-01,4.428007848900571419e-01
1.552079127513496637e+00,1.265316189438366656e+00,1.297842152542831862e-01,-4.712462059682632765e-01,6.341149798832480533e-01
-1.724836993226536830e+00,-3.709188072468161401e-01,-2.761936891735123911e+00,-1.981108891075007983e-01,-5.557904697936965066e-01
-2.036210118922889833e+00,6.549516008058064997e-01,-8.135969596043577390e-01,-2.847416134288356382e-01,-9.037480431269745429e-01
4.196103261185246680e-01,-3.233810854946259639e-01,-2.160590867695169059e-01,9.538017420032448568e-01,2.086178908831296253e-01
-1.759866502904015917e+00,8.583846074368426393e-01,-2.747353783486371714e+00,-8.265573424499793320e-02,-6.292100190716645169e-01
1.999106204523594776e+00,-4.725755011317698262e-01,-2.966997968006421349e+00,-1.683995373875032397e-01,5.562368015752535699e-01
