# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
4.002835003323119700e-01,3.120952221360288270e+00,1.350040183127471094e-01,6.608810595974592972e-02
2.901544086836147507e+00,2.953947990831529147e+00,-1.702595538147660403e-01,-3.514677743613336958e-02
-2.398199178156156908e+00,2.161316640390820609e+00,-1.606715938068498106e-02,-4.661038463376192542e-01
-1.197181408200948871e+00,-1.506388540371342621e+00,-1.614959986495846100e-01,-6.817175946138236409e-01
1.714950404792679350e+00,8.088223234345810475e-01,-4.050677219548479147e-01,7.759990657949570325e-01
7.726795554442982272e-01,9.848040011656999937e-01,3.195816347576676542e-01,7.769808268983711130e-01
-1.499283752249439994e+00,-1.541157853572257652e+00,-3.586570368990686375e-01,-5.889856949941443265e-01
1.321348094031620235e-01,-9.675792248965189302e-01,8.135448587379453533e-01,-2.241750354118529076e-01
-2.107003354979232412e+00,2.419832154385568757e+00,9.960325446183976306e-02,-3.497083864644874307e-01
-2.197235069269104724e+00,2.460024081308865185e+00,6.382279916559563393e-02,-3.416563331591098152e-01
9.876863407567926245e-02,-6.626245299631405850e-01,8.853997358857701450e-01,-1.595451975279690848e-01
-1.199544582546606897e+00,-2.403450693694479057e+00,-1.586413687904073555e-01,-3.344488835467809285e-01
5.887145161893054812e-01,-3.090957214638526906e+00,1.364168351046628480e-01,6.674125470251410230e-02
1.902403757276559304e+00,-1.445984595903976766e+00,1.799947638341465594e-01,6.963307939728772267e-01
-4.604817732253705387e-01,1.726345653569238969e-01,8.762540812745760466e-01,-3.579643279204628992e-01
-2.759558964920167945e-01,2.813426276000224213e+00,1.999904537785470726e-01,7.735923494817167900e-02
1.593031300422036445e+00,3.056408203939311896e+00,-3.739139182063554168e-02,1.506563128697207543e-01
-2.832559709983298646e+00,-1.723792001702457721e+00,-5.861074131855017466e-01,2.278647027368758404e-01
1.615178355900444451e+00,-1.744609761675755877e+00,3.722520739594036843e-01,4.978302735391955114e-01
-1.625992313848300119e+00,-1.699449562957725979e+00,-4.236012930228104656e-01,-4.760362898092565520e-01
-2.650875041137580101e+00,1.612845272657998485e+00,-2.819298336103828739e-01,-6.037544901661044960e-01
-1.288567100035230562e+00,8.484458462992483518e-01,5.150535577694241862e-01,-6.986600118821387762e-01
3.025222186120628542e+00,-2.241642880541968808e+00,-2.629234321659218998e-01,3.461871917182708924e-01
1.684132183416771511e+00,-2.261431981839770344e+00,2.729743911382379040e-01,3.281660704248710037e-01
-5.065131895738481660e-01,-9.107846204895952980e-01,5.421013364209262830e-01,-6.621190413907314110e-01
-2.210449644029747862e+00,-1.346162377786809694e+00,-6.943479374871044385e-01,-2.799834490788997154e-01
5.673282989958838840e-01,1.215757120719842987e+00,3.795575751580815282e-01,6.865799172414712714e-01
-1.809665670172426299e+00,-3.043743158875322319e+00,-7.391115881115001285e-02,-1.383540953161894183e-01
2.331200709053247166e+00,-3.797450608466172994e-01,-5.276810456693635798e-01,7.698745013065597664e-01
2.030888919454301167e+00,-9.036765381891198601e-01,-7.254536880784279163e-02,8.540939878561997212e-01
2.707679939405430503e+00,-5.443574275684626151e-01,-7.224135769852823019e-01,5.630462923764425476e-01
2.980882821491038115e+00,6.930694681521929468e-01,-8.875573879906030195e-01,-1.150167244267478878e-01
-1.392889632105408504e+00,1.623825204510240816e+00,4.867144053741999654e-01,-4.497636216628325134e-01
-6.137740639908959572e-01,-1.901160918775574249e+00,1.256172381249202608e-01,-5.513525386837339060e-01
1.219640625212723428e+00,-2.387149196801571005e+00,3.461685491147294957e-01,1.485264064928332184e-01
-3.200299072054093585e-01,7.852375179467978583e-01,8.795656849998614302e-01,6.416121295543947278e-03
9.883268784109322525e-01,-2.064457040143957478e+00,4.924434699852473507e-01,1.072578340260921803e-01
8.053590321832242438e-01,1.522134976823759089e+00,1.064591922597251661e-01,6.874365319257007556e-01
1.586215674379992002e+00,2.572964492860196906e-01,-1.162194474458799059e-01,9.351518001927803247e-01
1.911277650613535606e+00,-3.703799399356224598e-01,-1.717097883590391061e-01,9.182479504456610986e-01
-1.833245131143558471e+00,2.135064169987259675e+00,2.392234851679527763e-01,-4.122636432994437605e-01
