# link_lengths=0.3,0.3,0.3
theta_0,theta_1,theta_2,gt_x,gt_y
1.991259966719277408e+00,2.121037812849789539e+00,-5.464857040227100171e-01,-5.652785399863903271e-01,-9.719815405185283641e-02
1.577556338019124205e+00,3.296817260490056967e-01,-5.418115719563836308e-01,-3.988834269311091613e-02,8.768694336243925136e-01
1.469669897725533581e+00,1.963734915247789203e+00,-3.112955065618089101e+00,2.769716697171936692e-02,3.066588835292943793e-01
-2.585919090530821585e-01,-1.283434062609897008e+00,2.474580746730281611e+00,4.773904421765772788e-01,-1.356483119530289549e-01
-8.446576706769834963e-01,1.645067465429271181e+00,2.979700736413922968e+00,1.672259954372340152e-01,-1.878324894070995954e-01
8.340072123034882878e-01,4.982607671504588609e-01,1.463740535685102095e+00,-9.807461736926481599e-03,6.153188658088406537e-01
2.611946275134283901e+00,2.506098225606705476e+00,2.544087543071758439e+00,-8.330692253161739447e-02,1.704112602279294619e-01
1.849538158810815069e+00,2.451781608105925159e+00,5.745054091114312200e-01,-1.536079180173155478e-01,-2.825897185319268812e-01
-3.508666624663474565e-01,2.625945010275861691e+00,3.127177995268286992e+00,2.784069667817641314e-01,-1.058896813048708085e-01
2.200928317249769783e+00,3.140409717369339049e+00,2.915504761210581108e+00,-1.179024643286039342e-01,2.757739665698232256e-01
2.968173305038651399e+00,-3.037043917982080732e+00,-2.119432839382960232e+00,-1.699126850247436038e-01,-2.134767433380852508e-01
2.233300141955444573e+00,1.619680158230734968e+00,3.008293898302291325e+00,-1.605123296269117539e-01,2.045980530366066086e-01
2.588914558490393425e+00,-1.153906000062199011e+00,2.479787965737709321e+00,-4.294282356380405008e-01,2.451995209721612723e-01
-1.751897525168799596e+00,-2.379436561850921894e+00,-1.349546813878578000e+00,-1.019013038015686989e-02,1.713593426048563573e-01
5.540776363237696067e-01,5.657765740076974303e-01,1.791522730157439902e-01,4.663967359718371730e-01,7.168464056549099794e-01
2.314921069407582799e-01,6.951469110256129902e-01,1.826757730732506246e+00,1.944769574557717595e-01,4.222666094320731700e-01
-1.870530495617331868e+00,-1.674668642136391883e+00,2.191314683467687097e+00,-2.999105767260003552e-01,-4.617732405622003711e-01
1.395784184312961251e+00,-6.461852325320585066e-01,1.624674000653190120e+00,5.589250065651993338e-02,7.080834638099481326e-01
-2.928951831847447895e+00,-2.464906118333354268e+00,1.935066332447639148e+00,-3.892965686817731474e-01,2.632538143662352947e-01
2.503988754051485799e+00,-1.616403149426236086e+00,-1.523749463480714716e-01,1.708354279866482750e-01,6.124695225055518666e-01
1.720684874698809708e+00,1.749591247647521719e+00,-2.443962049884316201e+00,-1.733462353967611669e-01,4.564158174709421756e-01
