# link_lengths=0.25,0.2,0.2,0.15,0.2
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
1.526764491099266152e-01,-1.610094233234401262e+00,-7.806007059913482315e-01,-8.343934683024203380e-01,6.959565167798196228e-01,-1.479408622804808948e-01,-4.666996607987295986e-01
-3.103457138631574797e+00,1.631174122192354581e+00,1.453613110789206075e+00,1.999938878857322244e+00,1.997594619654332604e+00,-2.239371953818635741e-01,-2.233195422922854001e-01
-3.052135558686622119e+00,-1.933875429540170332e+00,3.629506800971933345e-01,1.868268395933072590e+00,2.097170982664572136e+00,-1.934266043561041482e-01,1.905965549530845848e-01
1.934872248207086365e+00,-1.749407491794677139e+00,2.336558433016048042e+00,-9.828496772932915349e-02,3.039157681784695697e+00,-3.185795768091523317e-02,3.390277798298992895e-01
-9.990029095225687605e-01,1.554353252365052285e+00,-2.635105213521993228e+00,1.407900828816019079e+00,-1.994926839888891301e+00,1.472993988168338486e-01,-4.642351774776646289e-01
-1.658204319595768084e+00,1.338368268108371062e+00,2.788794506452734190e+00,4.392474671543515896e-01,-1.657136118262567681e+00,-7.147533347646356505e-02,3.723728537748358103e-02
5.681040146547591263e-01,2.000486992866482794e+00,-1.469807910258665418e+00,1.242956421498435660e+00,8.191968236583577756e-01,-1.708731633557079022e-01,5.247905637709677773e-01
-2.815182172697665131e+00,8.155139149093848516e-02,-2.029614939829651910e+00,1.802135436790857526e+00,-2.087094372361772088e+00,-4.918748582081721166e-01,2.021350247239569187e-01
-1.754119665446082221e+00,-2.255903461915833574e-01,-1.449573926065261809e-01,3.121928929138845454e+00,-2.108568261183781267e+00,-6.020498409648837590e-02,-6.526779971337604014e-01
-2.059410253443299865e+00,9.934074032723980707e-01,-5.609663871859291717e-01,-2.728028609874196153e+00,-7.241078772371265515e-01,-1.261817941447443414e-02,-2.682616812358272207e-01
2.279832412463428604e+00,2.286723139070804933e+00,-1.713967391899602788e+00,2.725441632799899594e+00,-2.931386206387003313e-01,-1.609706386267895362e-01,-2.164623947365830747e-01
-2.988185594951680457e+00,-2.182423398731025976e+00,1.311127235786930356e+00,-1.978036428936370106e+00,1.229641854472653506e+00,-1.947487524748682808e-01,5.362936837592694461e-01
2.595788241462772206e+00,1.502948566712226430e+00,7.715525955678135261e-01,1.709693956434565010e+00,-3.971967667107558775e-01,4.503462650551665059e-02,-2.074226034008536113e-01
-7.809304301855766184e-01,-1.511588977279703094e+00,2.579279045872694631e+00,9.048198465081398467e-01,-2.959288645987216970e+00,2.536623904539117569e-01,-3.263415164516388911e-01
-6.132812249875208011e-02,-3.065179243506657158e+00,1.477343630851851941e+00,1.456515195019274955e+00,-6.461775100021971419e-01,3.147877140987652145e-01,-3.952162076189272844e-01
2.061903798725481352e+00,-2.429374847884415267e+00,1.867212935997089041e+00,8.492823077287483535e-01,-1.970370619529209444e+00,1.634758874308929189e-01,5.288545836298179648e-01
-2.228294729895507142e+00,-2.056815133722142974e-01,5.062442175699222169e-01,-2.493600520205675686e+00,-6.239735675754261024e-01,-3.523326837477532281e-01,-1.825703260153168361e-01
1.086774806391385795e+00,-2.670341161451230683e+00,-6.124804478902223792e-02,-1.739374806743489543e+00,1.879312098032142053e+00,-3.344173856232104947e-02,-3.416854302779821495e-01
-7.001027516756646030e-01,1.071960901060561078e+00,8.229734164943853791e-01,-5.546339271959439543e-01,2.211583857421348220e+00,3.795958578909904291e-01,2.443834843643929722e-01
-2.482061711683577698e+00,-1.708572706207320824e+00,-2.347422577540823951e+00,-1.774615419860238852e+00,-1.047315406158717099e+00,-3.697077656225755682e-01,-1.776655066191174803e-01
1.627698856105607383e+00,1.256658924086582196e-01,-3.820399645531558086e-01,2.907023182085496593e+00,9.252331655509484776e-01,2.035554381393596401e-02,3.298604850890947682e-01
-2.562158384383347087e+00,-2.369314035906477933e+00,-1.694577336644234711e+00,1.473187429325957254e-01,2.897475102899631949e+00,-1.120475771515344610e-02,4.707618809018375428e-02
1.314566650558831817e+00,-1.586219450767299088e+00,1.119424198312644947e+00,2.489872838448552450e+00,-2.026873925009223143e+00,2.926503236235256655e-01,5.021917835770889349e-01
-1.800941277723815404e+00,5.706805919079376288e-01,9.155221384746630164e-01,-1.200099001958746303e+00,3.072658538998882527e+00,2.109286416667956743e-01,-4.436191325950136211e-01
6.821513291665004530e-02,-3.202921499109736558e-01,1.208793016942031784e+00,-4.399473766290413757e-01,1.610259624182356575e+00,5.831543351536438990e-01,3.745792521394474273e-01
2.112981662099548075e+00,1.366315598768463424e+00,-1.261879298865963728e+00,-1.171111101439731961e+00,-2.411990539782024712e+00,-3.223533542270738406e-01,2.415354302845994228e-01
7.510664575496068807e-01,1.496821543190163695e+00,-2.631110132428368775e+00,-1.513708465081716081e+00,1.043135213917439685e+00,3.262954040973260472e-01,-4.114702483030152624e-02
1.381302203935326212e+00,-3.082660935498529042e-01,-6.107286457979688166e-02,-2.554093272373019641e+00,-2.573401379126261546e+00,1.405118338350862528e-01,6.063134274017287773e-01
2.023736299106775327e+00,2.100106625694339257e+00,2.059959725804718644e+00,-1.770253041286018458e+00,-2.037428606269201747e+00,-2.097928831781594450e-01,3.382114228447109794e-02
1.836117208961573155e+00,3.034984178199544580e+00,7.099786897293869359e-01,1.033980021874432609e+00,2.065905041561719280e+00,1.133880285333076499e-01,9.889264024303137668e-02
-6.287565335944824696e-01,2.949167741469159942e+00,9.017804345680122680e-01,-1.883577104029067861e+00,2.669681538503756890e+00,-2.283855946330622111e-01,-2.321178376825513978e-02
1.254479892585002254e+00,7.842288352013686570e-01,-1.414749871283930371e+00,-1.956530769373516332e+00,-2.662961724458501322e+00,5.386970814978633837e-02,5.379611425555046456e-01
9.186604993032023714e-01,-2.431147668130162032e+00,1.832674271413363698e+00,-2.933580265088948202e+00,2.136287705307133855e-01,7.620757049352414048e-02,-1.487381502837229474e-01
-2.325420097504158345e+00,4.042496063307381426e-01,2.465202737378969999e+00,1.539628255584145400e+00,-2.461091064506959469e+00,4.354389491408594548e-02,-2.094683543881707688e-01
2.082920773399411729e+00,1.903880238753465015e+00,5.087996296473953350e-01,-1.709825918528882882e+00,2.173047121369910961e-01,-6.369302502233423757e-01,-4.714645691430847940e-02
2.549451091416117698e+00,-2.640757825492141109e+00,2.455898619944862027e+00,3.154722936883365136e-01,-2.318260118566613404e+00,-9.812784110397668180e-02,3.991176355421116040e-01
-1.847644186537592548e+00,2.425624118502623716e+00,1.434875532409503052e-01,-2.594164142359596248e-01,-2.674257832270472868e+00,2.639556059350879336e-01,-9.249915198195042543e-02
1.098969703024319067e+00,2.750473673229811844e+00,-9.059370965333508607e-01,-2.465515330861429266e+00,-2.534038749793470213e+00,-1.945107221819525889e-01,2.409101482682898809e-02
1.413932049478145991e+00,1.994044444418010542e+00,2.474672123212181774e+00,3.046783527375191980e+00,-6.560862880791926699e-01,-1.831266423981160463e-01,3.702690591020370015e-01
1.034793201178093369e+00,3.802503223749873484e-01,4.663169801577771167e-01,-2.896016632781697631e+00,1.351907600353950301e+00,3.655018695740619439e-01,5.417345285753295547e-01
-5.829868166294578380e-01,1.475636356865037691e+00,8.058414218827949504e-01,-6.053414524090143800e-01,-1.289403447313114404e+00,5.738205093437194204e-01,3.107015508599162423e-01
-8.975852062125282416e-01,-1.414849140320981746e-01,2.266028158984804364e+00,6.606796049201975052e-01,-2.446041448073577484e+00,4.475853462999272447e-01,-1.429819598234851885e-01
2.336625075131153473e-01,1.917341262363203569e-02,-8.381722617620726012e-01,1.785285413941538835e+00,6.381718575407506755e-01,6.050832482121935030e-01,3.301190092712602553e-01
-3.713398758618020601e-01,-1.841335017424409859e+00,-2.931656495831971299e-01,-2.166576001127005657e+00,-2.248446137023779379e+00,1.069970572418810911e-01,-3.388531332175399036e-01
-2.109210314044998036e+00,-1.139138709598243260e+00,2.167812456347371963e+00,-1.295577702212566296e+00,-1.139051829909147440e+00,-5.272476115320384737e-01,-4.007054874485671547e-01
3.006766776749354442e+00,-1.716677313541367322e+00,-3.120689527490124071e+00,-4.529854025145025886e-01,-1.562867772172425118e+00,-4.941347206175422668e-01,4.859272781090021032e-02
-2.897605671689662987e+00,1.930126079939876504e+00,2.554267784255844553e+00,-2.782869619805093286e+00,-1.065565853083680015e+00,-2.048560810002716115e-01,-3.188432094652148274e-01
6.660794937315905884e-02,2.747299639160950768e+00,-2.152752211988386843e+00,5.194633715623191428e-01,5.857477605631449258e-01,2.361320252328141800e-01,5.387295756885372988e-01
1.626052164314858217e+00,-2.610338087686914221e+00,-3.106507987363424039e+00,1.548013227850105977e+00,6.306181440880767042e-01,-2.104376882564041318e-01,-2.737571329081700533e-02
-1.844749217451245871e+00,-9.853243740109229876e-01,1.051791610775281605e+00,-7.473778156020576269e-01,-4.877967174389117311e-01,-6.200041856470071000e-01,-6.099038202724156310e-01
9.651076085976502128e-01,2.161341368045563982e+00,-3.988234560645014248e-01,2.678666161257043932e-01,2.894467120653059666e+00,-2.044178138394438515e-01,2.342082201254120921e-01
-4.978800184611027468e-01,2.446080257740184116e+00,-5.050877135229967507e-01,-1.303612225084269438e+00,-1.608732142036764845e+00,3.402358365464902556e-01,8.679367798806481016e-02
2.651792007210231894e-01,6.487432378349091699e-01,-1.664170101140299618e+00,2.803088834912527361e+00,-2.106506526471497942e+00,6.398675206150684636e-01,2.097169706372452036e-01
-1.428327309223948571e+00,3.357010444117141112e-01,-1.179828365526815581e+00,-2.207695350677099544e+00,-1.121533249980381619e+00,1.192328311841056032e-01,-3.058242848703738304e-01
