# link_lengths=0.4,0.4
theta_0,theta_1,gt_x,gt_y
-1.517620594672427492e+00,-5.592013235142649918e-01,-1.726216327733953171e-01,-7.493057317495190883e-01
-2.569803576935940193e+00,1.224815377863142096e+00,-2.468160551464332053e-01,-6.063003600128469284e-01
1.385147280806329206e+00,2.475444309289448697e+00,-2.271523890729815753e-01,1.296739669638051762e-01
-1.921416401802410467e+00,-8.656894557364398501e-01,-5.125219892483786621e-01,-5.145076102046002298e-01
2.710726609807571741e+00,-5.938839786228427009e-01,-5.711667641946535090e-01,5.088968999250149672e-01
2.858926914915957518e+00,-2.257555782562463254e+00,-5.430187710607770057e-02,3.378760691622235690e-01
1.132420181453386299e+00,1.792047340316265114e-01,2.722997771420527235e-01,7.488179176940581439e-01
2.168621629731280365e+00,2.997126745445199525e+00,-4.994330134697250179e-02,-2.896768580180336672e-02
2.420435756843827058e+00,1.914657476389984403e+00,-4.477800633752132553e-01,-1.077641237288227694e-01
-1.045658184431080162e+00,-1.748342970221728132e+00,-1.755453277621049635e-01,-4.823556118116388847e-01
-1.634972768263672327e+00,-1.747532726123925517e+00,-4.141011932213770619e-01,-3.037408778699786649e-01
2.950581109456371642e+00,-1.800927724014417697e+00,-2.292035600117185157e-01,4.409897746187900203e-01
-2.476752856793406732e+00,-1.616870278512084536e+00,-5.468183584285609689e-01,7.906474633524784856e-02
-2.761364058216857487e-01,-1.349639324313457012e+00,3.628657116911006009e-01,-5.084517920995894613e-01
-2.559268167597616994e-01,6.656977153269698633e-01,7.538564862235463959e-01,5.810282284101145334e-02
2.500315791328569404e+00,4.279879355198894508e-01,-7.114690339348541670e-01,3.239578234712736649e-01
-2.792290485008942280e+00,-1.067658769326529367e-01,-7.641374948333802264e-01,-2.329630623442980886e-01
-7.224190878190031029e-01,-2.799410654201087922e+00,-7.134729881338325308e-02,-1.160243161194290940e-01
-1.168120450742176075e-01,-1.873161507389349945e+00,2.344704713454651424e-01,-4.119882804783307484e-01
-9.279384555767515863e-01,-2.913440724624756228e+00,-6.619776293586335236e-02,-6.253255116388878321e-02
-3.926107400791760682e-01,-2.436798778840545410e-01,6.912875185636717656e-01,-3.907271495568022113e-01
3.116816369830864630e+00,-2.369813189145334675e+00,-1.063859020736241945e-01,2.816866848229397369e-01
