# link_lengths=0.25,0.2,0.15,0.1,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
-2.413622056456159459e+00,8.371218315776562946e-02,-7.868971023334743187e-01,1.197865036446317255e+00,-8.891526392909407939e-01,2.493377686840160479e+00,-5.077586329776211382e-01,-4.728362174575428956e-01
-1.428898513173490148e+00,-2.603327946553359418e+00,-2.793535761843932708e+00,-3.809443041786391149e-01,1.849018012616475914e+00,-2.248840365897872395e+00,1.829675709733230848e-01,-2.662798950725616676e-01
2.442065246429009129e+00,2.704055324219934775e+00,-5.875322427860214525e-01,8.539160782030679187e-01,2.370295487660425415e-01,1.308093888709940700e+00,9.290927486059641360e-02,-2.419858275937740166e-01
2.665894084897479921e-01,6.048911457126338043e-01,-4.260698881738420596e-01,-8.376670452183385684e-01,-2.954757391706635428e+00,-5.158272377149137888e-01,4.246818333784654897e-01,3.317443258433765418e-01
-9.261776700561394904e-01,3.442834719002170196e-01,-1.507973291007139283e+00,-2.960085594196398162e+00,1.099408043188945250e-01,-2.218939876473441153e+00,3.626230035599485868e-01,-3.250222813165943858e-01
6.115293987259224906e-01,1.181458164133355915e+00,-2.732024433336465830e+00,-2.139498960966047747e+00,-1.819195888762591640e+00,-9.389825311420949561e-01,2.580287853673542964e-01,3.527293507287086460e-01
2.702874598336820533e+00,2.064333815885573742e+00,-1.795145322946407607e+00,4.193631560582087303e-01,1.630777090807030483e+00,2.068781178548555033e+00,-3.605135759452715583e-01,-1.158834314609103744e-01
-1.074486752175442206e+00,1.572025154788264878e+00,1.380188534273395717e+00,-2.386909572839528426e+00,1.658691111176020527e-01,-5.394075283485704198e-01,4.944617273748815323e-01,-1.410481435251951521e-01
1.566551831419224605e+00,1.201359019305690445e+00,-2.044142085706102563e+00,7.795112438660867227e-01,3.633974055385991164e-01,1.248009435673073320e+00,-1.951150853705106714e-01,6.204558560301465242e-01
2.398900887081168776e+00,-1.651132299085534383e+00,-5.717301458673902381e-01,1.363227453524898714e+00,1.384077630356744137e+00,-1.859765205721164660e+00,6.426013388250470526e-02,5.403510605240890996e-01
-2.280450129647414670e+00,-1.588858397086867491e+00,1.014824244380232443e+00,2.122356906743857685e+00,-2.137934510817657063e+00,2.718884637415333039e+00,-3.791932382604651930e-01,-2.078169189172906495e-01
-2.374535893353400873e+00,1.589989138311646677e+00,-1.296475152503276718e+00,-2.613827950154532509e+00,1.681804796507989863e+00,1.594998967855467242e+00,-1.974165603190693452e-01,-4.573712638032731981e-01
-1.601510408831412713e+00,-1.723497552524196008e+00,1.799681413520633377e+00,2.812454622888175493e+00,1.171703380844943965e-01,-1.337594030768993525e+00,-5.316600164998253053e-02,-1.619631864880334560e-01
1.994043580023132201e+00,1.111192713452055614e+00,1.703158543722491203e+00,-3.273566675816903526e-01,2.283075736252304644e-01,-2.196214589532425876e-01,-3.334864122519416441e-01,-2.089661085391432138e-01
-3.139741922000529151e+00,-7.682681431258289173e-01,4.917646663991552813e-01,-7.103682821917276513e-01,6.092714308166273796e-01,2.460495887347590838e+00,-6.376032575974716066e-01,2.118754065895135652e-01
2.837001650102410011e+00,-7.363597066851208517e-01,1.047084746692552137e+00,3.075202348443913714e+00,-7.103517635107285955e-01,-1.371112141789937455e+00,-3.720433475165144666e-01,8.681332772413036247e-02
-3.005119830666582281e+00,3.138879404836179887e+00,-8.917333427794065237e-01,-2.026572324878502140e+00,-1.514692978327904616e+00,9.088002122429399421e-01,-1.712900965216948568e-01,-2.919408742607972063e-02
-2.588818176018351291e+00,-1.085363704043162958e+00,5.627390630035855601e-01,-2.349361738355244089e+00,-5.803014110888233823e-01,-2.729554370363261206e+00,-4.492251335312765770e-01,2.171764924503057081e-03
2.942171046139966606e+00,8.751580255151321097e-01,3.009073136851638353e+00,2.576573118400884432e+00,1.531021606909366284e-01,-2.441056680751990449e+00,-4.044505706539098799e-01,6.496978484286831945e-02
-1.143344032135027888e+00,3.030930673620817473e+00,-2.922420612554411434e+00,3.065355095264372665e+00,2.760156103812055228e+00,2.934304121275992827e+00,9.425004264960094857e-02,-7.733195625675425011e-02
2.713694069910745910e+00,-3.191678907017752032e-01,1.219312608024504918e+00,-2.413789312114387187e-01,1.242725159005382274e+00,2.358307363563797665e+00,-5.377262017101170910e-01,1.126719402885748289e-01
-1.452099174410862226e+00,1.082925960537539645e+00,-1.228904343360101903e+00,-1.385149615626206421e+00,-4.055653845335527308e-02,-2.806471832839930070e+00,1.038995782240429155e-01,-4.541179394620756260e-01
2.411167894492970198e+00,-8.928386919408852762e-01,1.220823576946655997e+00,3.121800065101103527e+00,8.664830313245142079e-02,1.134587737915366823e-01,-3.056778876947831292e-02,3.293287790010799299e-01
-2.051058726801918919e+00,-7.594492802330190528e-01,-3.089354585543270471e+00,1.465093344320893110e+00,2.101440313229178791e+00,7.936367646204622872e-01,-2.588992941468299946e-01,-3.067210775158606406e-01
1.742339132461103723e+00,1.911690283605238072e+00,2.789830396300017057e-01,-2.735813122193740732e+00,2.245063076301945237e+00,2.321331385912978718e+00,-2.946265152585760827e-01,5.540087013046152836e-02
3.101402708476648229e+00,-1.972156664541632853e+00,8.400799398175231580e-01,-2.323790018538103741e+00,3.040556463183676783e+00,-2.444058319591204675e+00,-1.214749536704863575e-01,3.623578943493137028e-01
