# link_lengths=0.2,0.2,0.2,0.2,0.2
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
2.438074028519535474e+00,8.202401687941645037e-01,3.052145256071631785e+00,-6.256456266565764146e-01,2.657790725522667152e+00,-7.985894613330359049e-02,1.754802847003426591e-01
5.210933450597066141e-02,7.396058981839619406e-01,-2.593371532742372310e+00,2.178171987671659871e+00,5.967155827805292745e-01,5.930072527503508217e-01,1.969131532055559131e-01
2.329692476603319129e+00,-2.512794556584753813e+00,9.788931921589725249e-01,-2.891359290103244550e+00,-2.215476017757254112e+00,2.064205879945338329e-02,2.626061917181867766e-01
2.053319219543729091e+00,-1.942584266284815842e+00,2.047513928022637764e+00,2.092221703993607740e+00,-1.551222774506326729e-01,-2.097346303114541177e-01,2.357952000796334491e-02
-3.241800771680445337e-01,2.857685755482446410e-01,-9.284502635484899180e-01,9.106170889332396712e-01,-1.093250497112971065e+00,7.844853750404057191e-01,-4.297627962586907380e-01
-9.656752467969567100e-01,2.778388592117298828e+00,-3.436673760561159696e-01,-2.242055958664761484e-01,1.172273196189596689e+00,4.484133177804217052e-04,5.506731355167541198e-01
1.571905958149850235e+00,3.819896002577087835e-01,-3.002913470660053541e+00,2.007364549950151122e+00,2.329054518096069337e+00,-5.819978116446339333e-02,3.467051314029727660e-01
-1.522782436158164332e+00,-5.019511551648481174e-01,-2.931013091770069412e+00,-2.272141835210202299e+00,1.659156094095508571e+00,2.383771929236055409e-01,-2.164319206831580022e-01
-1.961929140728641663e+00,-8.754700786538993640e-02,-1.884609499664016141e+00,2.204563057697223272e+00,7.259525942791431596e-01,-2.329363431853298805e-01,-5.861599451978224407e-01
2.401027964857140873e-01,-1.504493023966222198e+00,2.751727463391788753e+00,-2.341759087440229870e+00,-2.854694353475788038e+00,2.339459487429369489e-01,1.285041840937929669e-02
-1.344626588404511658e+00,-2.016760471927071308e+00,-1.801620915789942767e+00,-2.827581109639931700e+00,9.973986319419392288e-02,-9.784304162296579566e-02,-3.692659933324462518e-01
2.130386870652280606e+00,2.767353227639801183e+00,5.385484070842552207e-01,-2.591092611448031047e+00,-8.045287434072969646e-01,-2.186804964145070973e-01,5.981499467726525410e-02
-3.645410870444845131e-01,8.666817705411142825e-01,4.085959316373970474e-01,-5.903539750025807997e-01,2.504579442498601871e+00,4.845661586043377156e-01,3.082068524852586422e-01
-3.781466946821909758e-01,1.481846644224671827e+00,-3.003778067271676289e+00,-1.634872847438750165e+00,-2.890679969778183978e+00,2.245054583485954769e-01,-3.625320441573304242e-02
2.790740897208952020e+00,8.810230345807550378e-01,9.799745832902813092e-01,-2.919027270137530827e-01,2.184121555933127290e-01,-4.682896532666945832e-01,-6.179310760303744487e-01
-2.782884503260167897e+00,-2.525374220584738705e+00,-1.445798848381012469e-01,-1.502099890022183803e+00,2.064739249570294533e+00,2.518208236250640830e-01,3.153270458560824552e-01
2.734874878645411123e+00,-2.946667950827591032e+00,9.926232417316516177e-01,-4.330935794956283225e-01,1.162790763809654848e+00,3.539879445148128578e-01,4.456416443203604083e-01
-1.720478292143030163e+00,2.070502370042427209e+00,1.739809437374484347e-02,4.521874378519603610e-01,2.097175900744129962e+00,2.862333389139901096e-01,1.334221056994577270e-01
