# link_lengths=0.35,0.3,0.2,0.15
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
-2.067320240867319026e+00,2.113002625914293553e+00,-1.665512051744678867e+00,2.470776825586615821e+00,2.220447402325783359e-01,-3.810092187737218472e-01
2.864407117186900109e-01,2.885333217368578396e+00,2.276234615980013309e+00,-1.940908632926688249e+00,2.999402403362827485e-02,-1.120605853126300233e-01
-7.242327660533676159e-01,2.842146355762656285e+00,-1.786386262124546986e+00,2.425542917831222667e+00,1.561471670781215682e-01,1.456769662503742402e-01
-2.909773016985441441e+00,-4.077171003108355229e-01,-2.376818484044746604e+00,-2.703220932267513810e+00,-5.472717971465613784e-01,-4.521097669475984682e-02
9.717768274478855162e-02,-1.338096172440835341e+00,2.402243084113696803e+00,-1.112180212197899642e-01,5.997736712642869339e-01,6.372179582629378114e-02
4.464700711403626343e-01,1.160141317582879417e+00,1.370589529026142728e+00,9.120471266317311532e-01,-2.346682638673408539e-03,3.816743785741290584e-01
-2.952004461506018806e+00,-3.454805447961430964e-01,3.331497312798172850e-01,-1.598561335690564134e+00,-8.592973145958603398e-01,9.368034203647745972e-02
-8.549137689528736317e-01,2.391619135475289148e+00,2.039509485935439237e+00,-1.507953707344218630e+00,-1.306115440219915436e-02,8.335139815944539454e-02
-1.418504554902898729e+00,3.105723534371327865e+00,2.753759254878224816e+00,-1.376391490908210891e-01,-9.503045617170262360e-02,-3.782835397532917643e-01
2.175304208526807948e+00,2.263143800234634462e+00,-3.840622001123041862e-01,-4.538092704227159047e-01,-5.368663994416740248e-01,-2.255386031921460255e-01
6.358364572747339238e-01,-3.977181703452838946e-01,-3.027002873905661584e+00,1.530347131022027796e+00,4.315296218053227273e-01,6.677568429423777485e-02
1.350861627038119295e+00,-2.754728658030034527e+00,1.792943826033015498e-01,4.521789683565837770e-01,3.015105416846561304e-01,-2.470707288215812647e-01
-3.102088050572069822e+00,1.532124718905734539e+00,1.053534193978459044e+00,8.569175356307203728e-01,-3.417069108014522683e-02,-3.624864099048049626e-01
1.124826271897293672e+00,2.509525014383843455e+00,-2.528958523609601716e+00,-1.528325472952911435e+00,1.131973467998450833e-01,2.910126245112022447e-01
-1.548841467909040093e+00,-2.258480293403092976e+00,2.245741652404293909e+00,1.009139609403425730e+00,-9.872624625191997461e-02,-4.433322804756707480e-01
-2.186378076172331042e+00,1.824348606973484443e+00,9.432005094899551523e-01,2.214877256852604503e+00,1.044826180424876794e-01,-2.313980916972512014e-01
2.022751059388811612e+00,2.479585703032178401e+00,-3.010659478421593427e+00,-6.968321944137390034e-02,-1.773616182044273626e-01,3.691690386773509580e-01
2.758954283219199333e+00,6.118144992257339432e-01,-1.404517760094743606e+00,2.624802650984432439e-01,-7.856133326263932126e-01,3.657794848795956622e-01
-5.242935707839215809e-01,-2.356459676100319811e+00,2.901361199010361602e-01,2.546813641360121672e-01,-2.611634047710221784e-01,-4.654746489369006590e-01
